Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Weatherconditions,Road_traffic_density,Vehicle_condition,Type_of_vehicle,Type_of_order,City,Time_Orderd,Time_Order_picked,Time_taken(min)
47,4.9,12.94107680030018,77.62450509646014,12.948582706475957,77.60268005409337,conditions Stormy,Jam ,1,electric_scooter,Buffet,Metropolitan ,09:08,09:32,(min) 61
50,4.6,12.968953783193976,77.55945639020801,12.93502689713996,77.57794017814473,conditions Sunny,High ,2,bicycle,Drinks,Metropolitan ,16:41,17:01,(min) 44
24,4,12.962752910515666,77.57186152678952,12.876831963704776,77.60257808173024,conditions Cloudy,Low ,0,scooter,Buffet,Urban ,21:34,21:49,(min) 71
46,4.5,12.972338679505885,77.56398997047022,13.010853270580833,77.60573728191929,conditions Cloudy,High ,2,scooter,Snack,Metropolitan ,18:52,19:14,(min) 54
26,4.9,12.96602115003243,77.55824316985012,12.894917951448615,77.55691939902336,conditions Sunny,Jam ,2,bicycle,Snack,Metropolitan ,12:29,12:51,(min) 67
49,NaN ,12.951986181399226,77.60207898479923,12.962234746196179,77.5389031023076,conditions Sandstorms,High ,1,motorcycle,Meal,Metropolitan ,22:14,22:37,(min) 63
29,4.4,12.988209475016594,77.61988743384406,12.971313654146027,77.75308962973845,conditions Cloudy,High ,2,motorcycle,Meal,Metropolitan ,19:58,20:08,(min) 90
20,4.6,12.990114022585004,77.62692874255627,12.970126010442545,77.64041495569572,conditions Sandstorms,High ,2,bicycle,Drinks,Urban ,16:36,16:49,(min) 49
48,3.9,12.937164249474556,77.56584207191169,12.900398136363899,77.50757015692437,conditions Sunny,Medium ,0,electric_scooter,Meal,Urban ,16:21,16:41,(min) 62
43,4.3,12.93986057193801,77.58199055071026,12.977314351613925,77.58590927765702,conditions Windy,Jam ,1,bicycle,Meal,Metropolitan ,14:21,14:41,(min) 68
35,3.7,12.97291448727101,77.61041021720544,12.95214517865125,77.57688923218024,conditions Sunny,Medium ,0,bicycle,Snack,Metropolitan ,22:40,22:59,(min) 47
33,4.6,12.949510337168723,77.61746120705307,13.02563033771151,77.6996854541197,conditions Stormy,Jam ,2,motorcycle,Drinks,Urban ,16:53,17:14,(min) 91
28,4.8,12.995084991770238,77.60941179270894,13.049360026856816,77.65493771230943,conditions Cloudy,Low ,0,bicycle,Buffet,Metropolitan ,14:07,14:18,(min) 57
21,4.8,12.935585839895905,77.62363816753998,12.800754026615179,77.63479395408432,conditions Cloudy,Medium ,0,bicycle,Buffet,Metropolitan ,08:47,09:03,(min) 81
35,3.6,12.997293741757423,77.56898421182335,13.036014689815994,77.6650435753227,conditions Cloudy,High ,0,scooter,Buffet,Urban ,15:42,15:54,(min) 81
39,4.8,13.00763881834075,77.60758407230526,12.984966476217021,77.65501049533668,conditions Foggy,Jam ,1,motorcycle,Buffet,Metropolitan ,09:04,09:24,(min) 67
24,4.4,12.949208425430953,77.55782589570656,13.029763316731898,77.54631379145921,conditions Sunny,Jam ,1,scooter,Meal,Urban ,16:52,17:05,(min) 71
41,3.7,12.97655171122253,77.62060811859592,12.97316777627525,77.73324231620315,conditions Cloudy,Medium ,2,electric_scooter,Snack,Metropolitan ,12:58,13:13,(min) 81
40,4.2,13.00260017664954,77.62252301449925,13.055576060536525,77.57946487320764,conditions Sandstorms,Medium ,1,motorcycle,Snack,Metropolitan ,19:11,19:32,(min) 66
31,4.5,13.01104786887616,77.57742652670518,13.051312081973187,77.53275817252539,conditions Sandstorms,Low ,2,scooter,Meal,Metropolitan ,21:47,22:01,(min) 49
23,4.7,12.941985001618416,77.58830433025062,12.89007240431263,77.63096949477743,conditions Windy,Low ,2,scooter,Buffet,Metropolitan ,16:06,16:16,(min) 48
27,4.7,12.966206674313545,77.5680471916966,12.907595935460003,77.57850225434515,conditions Sunny,High ,1,scooter,Snack,Urban ,22:42,23:05,(min) 52
44,4.7,12.978369795231522,77.62689318553582,12.949933565499457,77.59325810568805,conditions Stormy,Medium ,0,scooter,Buffet,Urban ,16:20,16:41,(min) 58
24,4.3,12.97138269390762,77.58206201654896,12.939235006637247,77.60823059937906,conditions Windy,Medium ,1,bicycle,Meal,Metropolitan ,12:37,12:52,(min) 49
41,3.7,12.980057988481969,77.58676338668019,13.032118865762097,77.50932863969153,conditions Sandstorms,High ,0,electric_scooter,Buffet,Metropolitan ,17:06,17:26,(min) 86
47,4.4,12.96843982949704,77.5906789971985,12.933335936890883,77.58501942293483,conditions Sunny,Jam ,0,scooter,Drinks,Semi-Urban ,12:52,13:10,(min) 69
45,4.9,12.993927427193523,77.61423473578915,13.042289984421014,77.72449329363586,conditions Sunny,High ,2,scooter,Buffet,Metropolitan ,15:32,15:45,(min) 72
34,3.7,12.952710692005605,77.56809606666714,12.890573983873834,77.58122474151183,conditions Stormy,Low ,0,electric_scooter,Drinks,Metropolitan ,20:07,20:22,(min) 69
27,4.6,12.958523596672714,77.6132370866932,12.891565709866217,77.608357819561,conditions Windy,Medium ,1,scooter,Buffet,Urban ,15:01,15:13,(min) 50
29,4.3,12.972079155108332,77.57914213520512,12.943755774670892,77.61116661245025,conditions Sandstorms,Jam ,1,bicycle,Meal,Urban ,22:38,22:52,(min) 65
25,4.4,13.00725790925175,77.5748827061899,13.023166826603461,77.51875369402003,conditions Foggy,High ,0,motorcycle,Drinks,Urban ,22:42,22:56,(min) 64
36,5,12.934778593367339,77.62161020641253,12.895820558933368,77.635707131624,conditions Cloudy,High ,1,electric_scooter,Meal,Metropolitan ,10:04,10:19,(min) 53
42,NaN ,13.00261233979687,77.62838582444041,13.092801480862507,77.68003081405897,conditions Foggy,High ,1,scooter,Meal,Urban ,11:53,12:05,(min) 73
24,NaN ,12.976264539434016,77.6159868428953,12.953901692318947,77.61537954905687,conditions Windy,High ,0,electric_scooter,Snack,Metropolitan ,10:07,10:30,(min) 44
50,4.9,12.947794829754532,77.6324825991787,12.898713705416071,77.6436382536288,conditions Windy,Low ,0,bicycle,Buffet,Metropolitan ,14:01,14:25,(min) 51
21,4.7,12.943084946925193,77.59476609482468,12.915229291723596,77.57620450647858,conditions Foggy,High ,0,electric_scooter,Snack,Metropolitan ,20:41,20:53,(min) 61
23,4.4,12.942703934645653,77.6303014930062,12.942747455722612,77.58157106281986,conditions Sunny,Low ,0,scooter,Drinks,Metropolitan ,22:17,22:40,(min) 40
27,4.6,12.93976457008943,77.62451354566068,12.878730367330306,77.57441926485323,conditions Sandstorms,Medium ,0,electric_scooter,Drinks,Urban ,08:44,08:58,(min) 60
38,4.2,12.939679386670143,77.59458255662621,12.858940176729288,77.58604943681726,conditions Sandstorms,Low ,2,bicycle,Buffet,Urban ,16:25,16:42,(min) 54
26,4.9,12.941303073482961,77.62187466259152,13.019034813040616,77.65755955330775,conditions Sandstorms,Low ,1,bicycle,Meal,Metropolitan ,16:38,16:52,(min) 53
24,4.4,13.004308494476975,77.56025472299233,12.916741080094855,77.66079050302787,conditions Foggy,Jam ,1,scooter,Meal,Metropolitan ,21:48,22:02,(min) 99
32,3.7,12.988039268309624,77.58656851305663,13.019425087395904,77.51891302346085,conditions Sunny,Jam ,2,motorcycle,Buffet,Semi-Urban ,14:16,14:35,(min) 75
38,3.9,12.978337185698003,77.58750940556675,12.927569995281385,77.65998985252922,conditions Stormy,Low ,0,electric_scooter,Snack,Metropolitan ,16:25,16:44,(min) 67
21,3.9,12.95344530120343,77.62347107664719,13.011460306876783,77.5393994196811,conditions Foggy,NaN ,2,bicycle,Snack,Metropolitan ,14:54,15:04,(min) 76
24,4.7,12.960062515361608,77.58186771684363,12.970494025164664,77.56376226129096,conditions Sandstorms,Medium ,0,bicycle,Drinks,Urban ,14:28,14:39,(min) 52
27,5,12.956194820141793,77.62648195465133,12.94561995966164,77.58022391505804,conditions Foggy,High ,1,bicycle,Buffet,Metropolitan ,16:54,17:10,(min) 55
45,4.6,12.945391271205992,77.56918959084004,12.925023137730838,77.5504570069213,conditions Windy,Jam ,2,scooter,Drinks,Urban ,10:32,10:55,(min) 57
50,4.7,12.98286785727218,77.56361140980422,13.008351063242179,77.54130891766268,conditions Sandstorms,High ,1,scooter,Meal,Metropolitan ,11:04,11:21,(min) 52
23,3.7,12.983634286856653,77.62481550534294,12.96577068032089,77.61234988266354,conditions Foggy,High ,1,electric_scooter,Drinks,Urban ,14:12,14:24,(min) 61
43,4.3,12.93980698838681,77.59082999245301,12.909448644267902,77.70355691269397,conditions Stormy,High ,2,scooter,Buffet,Metropolitan ,22:38,22:48,(min) 83
29,4.7,12.970742814595253,77.60694960012138,12.938822979373766,77.53088581346927,conditions Windy,High ,2,bicycle,Meal,Metropolitan ,12:53,13:09,(min) 65
49,4.4,12.966529381012917,77.60141596277282,13.044799158450566,77.51323391348306,conditions Windy,Medium ,2,bicycle,Meal,Urban ,11:26,11:39,(min) 68
39,4.6,12.991563118843734,77.60387880460397,12.915290811711689,77.61728402340248,conditions Sandstorms,Medium ,1,bicycle,Meal,Metropolitan ,08:55,09:18,(min) 56
22,3.6,12.933195713812859,77.59901978506744,13.047242941545115,77.55496371219105,conditions Cloudy,Medium ,1,electric_scooter,Snack,Metropolitan ,10:48,11:12,(min) 78
37,4,12.965270727610589,77.58136145194098,13.010002570794628,77.46413189928919,conditions Sunny,Low ,2,motorcycle,Buffet,Metropolitan ,15:43,15:54,(min) 65
38,4.5,13.003413297029585,77.56172360721081,13.073201331790994,77.60031063915126,conditions Sunny,Jam ,1,scooter,Snack,Urban ,11:14,11:35,(min) 65
33,3.9,12.980929679924996,77.5789625896424,13.067251152514665,77.6027704033208,conditions Stormy,Low ,1,electric_scooter,Snack,Metropolitan ,15:57,16:15,(min) 70
21,3.6,12.980248951649667,77.60973009784743,12.878996100389246,77.63403913450692,conditions Sunny,High ,1,bicycle,Buffet,Metropolitan ,11:24,11:40,(min) 73
24,3.7,12.998373072239012,77.58155407848805,12.96138140307913,77.55450343924252,conditions Stormy,Medium ,2,motorcycle,Snack,Urban ,17:40,17:55,(min) 53
45,3.8,13.004647837931664,77.60591863884628,13.051467127343678,77.65890511079753,conditions Sandstorms,High ,2,electric_scooter,Meal,Metropolitan ,09:46,10:07,(min) 71
27,4.2,12.95185467813015,77.59160002549216,12.934412572867656,77.57581464768222,conditions Foggy,Jam ,0,bicycle,Drinks,Urban ,10:56,11:08,(min) 65
21,5,13.008320157675445,77.63394015804901,13.113001270472273,77.55244307085616,conditions Cloudy,Jam ,2,motorcycle,Drinks,Urban ,16:27,16:51,(min) 85
41,4.9,12.976028557679058,77.61845617038234,12.940672996408527,77.62828766028349,conditions Foggy,High ,0,electric_scooter,Snack,Metropolitan ,20:34,20:58,(min) 65
42,4.2,12.989049359875173,77.62923165912777,12.933226388734585,77.67599536757719,conditions Foggy,Low ,2,scooter,Meal,Metropolitan ,08:20,08:39,(min) 54
20,4.2,12.985287469772995,77.6291093315281,12.99380375426379,77.57276409363025,conditions Cloudy,Low ,2,electric_scooter,Snack,Metropolitan ,20:27,20:40,(min) 53
42,4.8,12.962849229628594,77.57743297114074,12.895042281996737,77.51803586427884,conditions Stormy,Low ,1,scooter,Meal,Metropolitan ,13:08,13:19,(min) 70
45,4.6,12.946511138415337,77.61615622599646,12.911759644941279,77.6804930432557,conditions Sandstorms,Medium ,0,bicycle,Snack,Metropolitan ,16:29,16:47,(min) 63
34,5,12.968703447671981,77.5897216397807,13.064704911522172,77.57263657645697,conditions Sandstorms,Jam ,2,bicycle,Drinks,Urban ,10:15,10:26,(min) 83
42,4,12.938738713318855,77.58027250423133,13.027125784644252,77.60254209274757,conditions Sandstorms,Low ,2,scooter,Drinks,Urban ,19:41,19:59,(min) 67
46,4.5,12.945998748856038,77.61092503423839,12.970418667145442,77.61334350607302,conditions Foggy,Medium ,2,motorcycle,Meal,Metropolitan ,08:56,09:19,(min) 45
44,3.8,12.969888292698563,77.63388951198235,12.888719941799724,77.6818149841655,conditions Windy,High ,1,motorcycle,Snack,Metropolitan ,18:00,18:19,(min) 75
26,4.7,12.973424888903649,77.58668778195083,12.942434435514109,77.58102183113334,conditions Sandstorms,Low ,2,motorcycle,Drinks,Metropolitan ,10:04,10:14,(min) 38
41,4.2,12.952365108466148,77.61565505345389,12.95276951288211,77.64710752463557,conditions Sunny,Jam ,2,motorcycle,Meal,Urban ,15:53,16:03,(min) 51
41,3.7,12.952053053526582,77.63240676895752,13.000909199152675,77.59401086546285,conditions Foggy,High ,1,scooter,Drinks,Metropolitan ,20:02,20:23,(min) 77
50,4.7,12.977610881382972,77.59581942929924,13.004886599541432,77.59176979845924,conditions Stormy,High ,2,motorcycle,Meal,Metropolitan ,08:46,09:10,(min) 54
42,3.6,12.992967722153663,77.60120326479003,13.120547923364036,77.58038238152548,conditions Stormy,High ,0,bicycle,Drinks,Metropolitan ,11:59,12:11,(min) 101
22,4.9,12.93510102281198,77.59348154726476,12.859883644234097,77.5913396023511,conditions Foggy,High ,2,bicycle,Snack,Semi-Urban ,10:58,11:17,(min) 61
40,4.6,12.961999815756828,77.62680807127654,13.066307277646086,77.64408273795439,conditions Stormy,Low ,0,bicycle,Drinks,Metropolitan ,22:44,23:04,(min) 69
31,3.9,12.972541588282585,77.63072150786445,12.914108668915764,77.50823566993766,conditions Sunny,Medium ,1,scooter,Buffet,Metropolitan ,09:54,10:14,(min) 76
21,4.3,12.944779731126875,77.56543939891309,12.966181114160019,77.55498834515215,conditions Stormy,Low ,2,motorcycle,Buffet,Metropolitan ,18:32,18:51,(min) 38
31,4.4,12.945914141757786,77.58029481702522,12.932605929491604,77.47184273639829,conditions Sunny,Jam ,0,electric_scooter,Drinks,Metropolitan ,10:37,10:48,(min) 82
23,4.7,12.999540163705499,77.59447733185291,12.87614749460945,77.59725144292773,conditions Windy,Medium ,2,electric_scooter,Drinks,Metropolitan ,22:14,22:35,(min) 70
24,3.6,12.9997721932441,77.57344507274256,13.007129093473452,77.61447421547088,conditions Windy,Low ,0,bicycle,Meal,Metropolitan ,10:04,10:16,(min) 43
29,4,12.947435328828544,77.6342037690714,12.936674814338609,77.61292209982696,conditions Sunny,High ,2,electric_scooter,Snack,Metropolitan ,09:35,09:59,(min) 40
32,4.8,12.933649694024027,77.58043078036084,12.85720061913119,77.68264588195107,conditions Stormy,Jam ,2,electric_scooter,Snack,Urban ,10:01,10:18,(min) 93
23,4,12.960042794755102,77.556425172659,12.961709822158358,77.53062806610887,conditions Sandstorms,Jam ,1,motorcycle,Drinks,Urban ,13:20,13:40,(min) 66
50,3.6,12.99389482460767,77.58641552024558,12.947468880690032,77.57745491919891,conditions Stormy,High ,2,scooter,Snack,Urban ,09:56,10:16,(min) 64
45,3.7,12.968996951317788,77.57387767751739,13.00152239666046,77.46535281232988,conditions Windy,High ,2,electric_scooter,Drinks,Metropolitan ,09:08,09:28,(min) 82
27,4,12.97504815587625,77.55514535131901,13.038186611414377,77.63873899105862,conditions Sunny,High ,2,bicycle,Drinks,Metropolitan ,09:43,09:53,(min) 70
38,4.9,13.002502933366598,77.59864747219756,13.133140455507375,77.55226382194532,conditions Sandstorms,High ,2,bicycle,Meal,Metropolitan ,18:31,18:54,(min) 86
NaN ,3.8,13.007878456542642,77.61136207721233,13.033565052410731,77.61037118340012,conditions Stormy,Low ,1,motorcycle,Meal,Metropolitan ,20:26,20:36,(min) 52
48,3.8,12.94904422601536,77.60379365353883,13.021428003275611,77.66996041562535,conditions Sunny,Jam ,2,motorcycle,Meal,Metropolitan ,17:45,17:55,(min) 78
32,4.8,12.9631407307446,77.5883280936353,12.895243274207433,77.56548288731429,conditions Stormy,Jam ,2,scooter,Buffet,Metropolitan ,08:08,08:21,(min) 73
44,3.7,12.992165829779953,77.6312999137029,12.91504266308195,77.56345047469647,conditions Sandstorms,High ,1,bicycle,Buffet,Metropolitan ,17:56,18:14,(min) 84
45,4,12.961427588237823,77.61979699858502,12.983667789482311,77.65731305218355,conditions Foggy,Low ,2,bicycle,Meal,Metropolitan ,10:36,10:50,(min) 45
44,5,12.981256111840159,77.57304617798924,12.974155476465084,77.6395189774702,conditions Sandstorms,High ,0,bicycle,Buffet,Urban ,11:43,12:06,(min) 69
